,img_name,WnID,bboxes,sample,pixel_w,pixel_h,Species,box_coords,n_boxes
0,n01664674_349,n01664674,False,train,130,87,Pacific Ridley,,
1,n01664674_427,n01664674,False,train,952,549,Pacific Ridley,,
2,n01664674_824,n01664674,False,train,444,283,Pacific Ridley,,
3,n01664674_1322,n01664674,False,train,450,599,Pacific Ridley,,
4,n01664674_1847,n01664674,False,train,350,159,Pacific Ridley,,
5,n01664674_1852,n01664674,False,train,300,175,Pacific Ridley,,
6,n01664674_1918,n01664674,False,val,215,143,Pacific Ridley,,
7,n01664674_2437,n01664674,False,train,350,131,Pacific Ridley,,
8,n01664674_2716,n01664674,False,train,250,127,Pacific Ridley,,
9,n01664674_2735,n01664674,False,test,500,352,Pacific Ridley,,
10,n01664674_2742,n01664674,False,train,600,450,Pacific Ridley,,
11,n01664674_2913,n01664674,False,train,1500,1000,Pacific Ridley,,
12,n01664674_2970,n01664674,False,val,478,302,Pacific Ridley,,
13,n01664674_3108,n01664674,False,train,624,438,Pacific Ridley,,
14,n01664674_3568,n01664674,False,train,200,133,Pacific Ridley,,
15,n01664674_3935,n01664674,False,train,750,563,Pacific Ridley,,
16,n01664674_3999,n01664674,False,train,400,300,Pacific Ridley,,
17,n01664674_4037,n01664674,False,test,480,320,Pacific Ridley,,
18,n01664674_4246,n01664674,False,train,120,80,Pacific Ridley,,
19,n01664674_4342,n01664674,False,train,75,75,Pacific Ridley,,
20,n01664674_4436,n01664674,False,train,205,203,Pacific Ridley,,
21,n01664674_4540,n01664674,False,train,707,477,Pacific Ridley,,
22,n01664674_4639,n01664674,False,train,300,197,Pacific Ridley,,
23,n01664674_4788,n01664674,False,val,500,382,Pacific Ridley,,
24,n01664674_4918,n01664674,False,val,800,634,Pacific Ridley,,
25,n01664674_5366,n01664674,False,train,700,467,Pacific Ridley,,
26,n01664674_5871,n01664674,False,test,198,133,Pacific Ridley,,
27,n01664674_39,n01664674,False,train,300,216,Pacific Ridley,,
28,n01664674_331,n01664674,False,test,130,98,Pacific Ridley,,
29,n01664674_1506,n01664674,False,train,102,68,Pacific Ridley,,
30,n01664674_3894,n01664674,False,train,500,375,Pacific Ridley,,
31,n01664674_1554,n01664674,False,train,500,375,Pacific Ridley,,
32,n01664674_53,n01664674,False,test,240,198,Pacific Ridley,,
33,n01664674_3790,n01664674,False,train,640,480,Pacific Ridley,,
34,n01664674_4058,n01664674,False,train,1570,1189,Pacific Ridley,,
35,n01664674_4591,n01664674,False,train,241,281,Pacific Ridley,,
36,n01664674_6254,n01664674,False,train,106,160,Pacific Ridley,,
37,n01664674_1653,n01664674,False,train,250,211,Pacific Ridley,,
38,n01664674_1802,n01664674,False,val,200,140,Pacific Ridley,,
39,n01664674_1898,n01664674,False,val,500,375,Pacific Ridley,,
40,n01664674_2026,n01664674,False,test,235,204,Pacific Ridley,,
41,n01664674_2595,n01664674,False,train,500,354,Pacific Ridley,,
42,n01664674_3410,n01664674,False,train,220,272,Pacific Ridley,,
43,n01664674_3900,n01664674,False,train,540,200,Pacific Ridley,,
44,n01664674_3903,n01664674,False,train,300,252,Pacific Ridley,,
