,prob
n01663782_100,0.934309184551239
n01663782_10019,0.9981860518455505
n01663782_10021,0.9933661818504333
n01663782_1004,0.9951252341270447
n01663782_10061,0.9898588061332703
n01663782_10127,0.9951062202453613
n01663782_10138,0.9633237719535828
n01663782_10163,0.9895395636558533
n01663782_102,0.9605409502983093
n01663782_1020,0.984742283821106
n01663782_10225,0.9970353841781616
n01663782_1029,0.994971513748169
n01663782_10290,0.8519227504730225
n01663782_10362,0.8935231566429138
n01663782_10371,0.9551225304603577
n01663782_10454,0.9767218828201294
n01663782_10460,0.9955861568450928
n01663782_10475,0.9710203409194946
n01663782_10476,0.9846140146255493
n01663782_1050,0.9956753849983215
n01663782_10540,0.9963578581809998
n01663782_10554,0.9980648159980774
n01663782_10588,0.9873277544975281
n01663782_10596,0.991584300994873
n01663782_10626,0.9815152883529663
n01663782_10644,0.910597562789917
n01663782_1066,0.9695612192153931
n01663782_10668,0.994975209236145
n01663782_10681,0.9982682466506958
n01663782_10687,0.8966119289398193
n01663782_10806,0.9741665720939636
n01663782_10859,0.9963255524635315
n01663782_1090,0.9986333250999451
n01663782_1094,0.984117329120636
n01663782_10959,0.9756574630737305
n01663782_110,0.9942501783370972
n01663782_11051,0.9973836541175842
n01663782_1107,0.9986628293991089
n01663782_111,0.9922547340393066
n01663782_112,0.9898362755775452
n01663782_11205,0.9750833511352539
n01663782_11229,0.9987508058547974
n01663782_11237,0.991509199142456
n01663782_1129,0.8880525231361389
n01663782_113,0.9841328859329224
n01663782_1131,0.9933885335922241
n01663782_11324,0.9719640612602234
n01663782_1137,0.9775435328483582
n01663782_11394,0.9846705198287964
n01663782_11498,0.960845410823822
n01663782_1151,0.9879064559936523
n01663782_11516,0.9856677055358887
n01663782_11528,0.9473696947097778
n01663782_1155,0.9894859790802002
n01663782_11622,0.9715941548347473
n01663782_1167,0.9675756692886353
n01663782_11670,0.9994372725486755
n01663782_11681,0.9884868860244751
n01663782_11697,0.9892114400863647
n01663782_11723,0.9982878565788269
n01663782_1175,0.9895033836364746
n01663782_118,0.9697190523147583
n01663782_1180,0.9823362231254578
n01663782_1201,0.9699455499649048
n01663782_1205,0.9697723984718323
n01663782_1214,0.9980055689811707
n01663782_1220,0.9747331142425537
n01663782_1232,0.9449282288551331
n01663782_1244,0.9929707646369934
n01663782_128,0.9958971738815308
n01663782_1288,0.9968204498291016
n01663782_1298,0.9868343472480774
n01663782_130,0.9789870381355286
n01663782_1305,0.9674851298332214
n01663782_1307,0.9890719652175903
n01663782_1312,0.07960613071918488
n01663782_1315,0.934344470500946
n01663782_1337,0.985491156578064
n01663782_1341,0.9975073933601379
n01663782_1346,0.9895097017288208
n01663782_1349,0.9935896396636963
n01663782_1365,0.9979708790779114
n01663782_1366,0.997619092464447
n01663782_140,0.5203917622566223
n01663782_1403,0.9890040755271912
n01663782_1415,0.9473939538002014
n01663782_143,0.9970082640647888
n01663782_1439,0.9798731803894043
n01663782_1448,0.9835584759712219
n01663782_1450,0.960106372833252
n01663782_1452,0.9964386224746704
n01663782_1455,0.9839265942573547
n01663782_1456,0.9608675241470337
n01663782_1465,0.9946191310882568
n01663782_1481,0.9936428070068359
n01663782_1486,0.9692485928535461
n01663782_149,0.9545256495475769
n01663782_1508,0.9746410846710205
n01663782_1525,0.9878178834915161
n01663782_1526,0.993613064289093
n01663782_1542,0.9988812804222107
n01663782_1554,0.9933907985687256
n01663782_1555,0.9731079339981079
n01663782_1577,0.996515154838562
n01663782_1589,0.9967561364173889
n01663782_1602,0.994621992111206
n01663782_1605,0.9864468574523926
n01663782_1618,0.9845865964889526
n01663782_1622,0.9923250675201416
n01663782_1623,0.9289993047714233
n01663782_1650,0.984599769115448
n01663782_1668,0.9900257587432861
n01663782_1669,0.9767302870750427
n01663782_1672,0.9986334443092346
n01663782_1678,0.9925708174705505
n01663782_1690,0.9775840640068054
n01663782_1699,0.9935787916183472
n01663782_1711,0.9872274398803711
n01663782_1739,0.9947910308837891
n01663782_1755,0.9969066977500916
n01663782_1762,0.9735245704650879
n01663782_178,0.9793718457221985
n01663782_180,0.9462279677391052
n01663782_1804,0.985123336315155
n01663782_1814,0.9725252389907837
n01663782_1827,0.9982001781463623
n01663782_1836,0.9950451850891113
n01663782_184,0.5317121148109436
n01663782_1849,0.9955341815948486
n01663782_185,0.9996211528778076
n01663782_1878,0.9976891279220581
n01663782_1880,0.9719679355621338
n01663782_1888,0.9716579914093018
n01663782_189,0.9986899495124817
n01663782_1891,0.9834871888160706
n01663782_1896,0.9913130402565002
n01663782_191,0.9755429625511169
n01663782_1947,0.7963070869445801
n01663782_1950,0.9679691195487976
n01663782_1954,0.9958582520484924
n01663782_1963,0.9967405200004578
n01663782_1975,0.9656891226768494
n01663782_1979,0.9877594113349915
n01663782_2003,0.9935469031333923
n01663782_2010,0.9902910590171814
n01663782_2046,0.9929602742195129
n01663782_2050,0.9940225481987
n01663782_206,0.9693491458892822
n01663782_2065,0.975886344909668
n01663782_208,0.8060778379440308
n01663782_2089,0.9974825978279114
n01663782_2093,0.9880139827728271
n01663782_2097,0.9950864911079407
n01663782_2099,0.9902322292327881
n01663782_2100,0.9909546971321106
n01663782_2114,0.9957396984100342
n01663782_2119,0.9370681643486023
n01663782_2137,0.9859662652015686
n01663782_2148,0.9994683861732483
n01663782_2152,0.936535656452179
n01663782_2153,0.9941651225090027
n01663782_2159,0.9648166298866272
n01663782_2160,0.9933573603630066
n01663782_2175,0.9984614849090576
n01663782_2186,0.978919267654419
n01663782_2192,0.9899945855140686
n01663782_22,0.9938681721687317
n01663782_2203,0.995988667011261
n01663782_2209,0.9657363295555115
n01663782_2213,0.9398106336593628
n01663782_2219,0.9940571784973145
n01663782_222,0.9862676858901978
n01663782_2229,0.9899341464042664
n01663782_2232,0.9937596917152405
n01663782_2233,0.6705799102783203
n01663782_2237,0.5988181233406067
n01663782_2244,0.9930143356323242
n01663782_2254,0.983119785785675
n01663782_2257,0.9857621192932129
n01663782_226,0.9775840640068054
n01663782_2262,0.9879373908042908
n01663782_2270,0.9954283237457275
n01663782_2271,0.764978289604187
